classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
50086458,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:08 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:02:59.925Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:07.812Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Possible Variable Star""}]","{""9302873"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout833.png""}}",9302873
50086466,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:12 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:08.661Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:12.684Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Possible Transient""}]","{""9303035"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout803.png""}}",9303035
50086481,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:18 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:13.973Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:18.668Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Possible Variable Star""}]","{""9302455"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout185.png""}}",9302455
50086500,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:29 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:19.758Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:28.914Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302979"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout5.png""}}",9302979
50086513,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:34 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:29.701Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:33.924Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Subtraction Error""}]","{""9302238"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout549.png""}}",9302238
50086531,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:41 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:34.869Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:41.508Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9303058"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout427.png""}}",9303058
50086541,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:46 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:42.405Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:46.044Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302911"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout148.png""}}",9302911
50086554,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:52 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:46.941Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:52.475Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302071"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout934.png""}}",9302071
50086568,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:03:58 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:53.453Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:03:58.043Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302923"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout181.png""}}",9302923
50086590,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:04 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:03:59.261Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:04.339Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302432"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout846.png""}}",9302432
50086606,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:09 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:05.172Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:09.363Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9303187"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout227.png""}}",9303187
50086632,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:19 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:11.452Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:18.818Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Subtraction Error""}]","{""9302924"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout430.png""}}",9302924
50086649,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:24 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:19.981Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:24.500Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Possible Transient""}]","{""9302163"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout536.png""}}",9302163
50086663,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:30 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:26.140Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:30.267Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302429"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout8.png""}}",9302429
50086680,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:35 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:31.084Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:35.708Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302736"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout229.png""}}",9302736
50086694,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:40 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:36.580Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:40.051Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302571"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout528.png""}}",9302571
50086709,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:04:45 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:40.844Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:04:44.947Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Possible Transient""}]","{""9302929"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout187.png""}}",9302929
50086758,bobabel,1641034,eaa323c399a371260614,3949,Difference Imaging Classifier,11.28,2017-04-21 19:05:00 UTC,,,"{""session"":""dd20efdd79617c4893e3517cbe02360583bfb589d76f69b0f884cdca2df3a1dc"",""viewport"":{""width"":1200,""height"":616},""started_at"":""2017-04-21T19:04:55.673Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"",""utc_offset"":""25200"",""finished_at"":""2017-04-21T19:05:00.731Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":584,""clientHeight"":438,""naturalWidth"":960,""naturalHeight"":720}]}","[{""task"":""T0"",""task_label"":""Which of these best represents the source?"",""value"":""Dipole""}]","{""9302830"":{""retired"":null,""image_title"":""/home/doug/lsst-mount/Zooniverse/cutouts/cutout933.png""}}",9302830
